Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.68626872,7.254895561,8.482889268,30.55494061,-8.283078395,0.892536936,10.20166014,7.218257761,7.654316567,4.604334009,-1.533846583,2.169452176
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,51.3919982910156,51.5309982299805,51.6800003051758,51.7859992980957,51.8429985046387,51.8839988708496,51.806999206543,51.7140007019043,51.6459999084473,51.6230010986328,51.6419982910156,51.9210014343262,52.2490005493164,52.5670013427734,52.8269996643066,53.0130004882813,52.6710014343262,52.3110008239746,51.9850006103516,51.7550010681152,51.6539993286133,51.9490013122559,52.3610000610352,52.8559989929199,53.382999420166,53.9070014953613,54.234001159668
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.9900512695313,..,..,..,..,..
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,18.487061839259,16.6724791741104,17.3590963159056,16.4238048876216,16.1874478550593,17.5669266221133,17.6968929946544,13.0773802342792,12.4591753758617,13.6830310899622,12.3290730854736,11.4642976258788,11.4178370784993,11.3716417845987,11.3083308242137
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0,0.113740161874088,0.867120277516642,2.48766749206092,4.78644517019363,9.73360444436721,17.5381616236848,28.9400601911825,37.4942004506374,35.4677664438775,46.4440581664588,49.9727530004765,52.9664731356239,56.1913326873846,58.420528226792,62.3354168186364
Albania,ALB,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,27,..,..,..,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,..,..,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,226.0054213,85.00475124,22.56505269,7.793218538,12.72547781,33.18027438,20.64285887,0.389437654,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.359242418,2.280502222,3.552267388,3.450347153,2.03159594,1.937617549,1.631777988,1.910016978,1.282798834
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,64.2220001220703,65.4229965209961,65.4509963989258,64.8109970092773,64.1419982910156,63.2410011291504,62.9679985046387,63.617000579834,63.3969993591309,62.951000213623,62.701000213623,62.125,61.6629981994629,60.3839988708496,59.1189994812012,57.9029998779297,56.8629989624023,55.9220008850098,55.0559997558594,54.5340003967285,54.2709999084473,55.7150001525879,57.4440002441406,53.6520004272461,54.3580017089844,56.451000213623,56.2779998779297
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,99.4351501464844,..,..,..,..,..,..,98.8312072753906,..,..,98.7911911010742,99.2313995361328,..,..,..,..
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,..,..,..,..,8.53872956623348,7.4845817471519,6.24004135918578,6.07476220166062,6.38438818544257,5.96271040567737,5.67059157327663,7.32517041622759,8.3229718015173,8.92772077927047,9.33037419135013,7.61493567370763,4.99776137699549,5.19757521538756,5.45212214324772,5.66188722901504,4.61442811424454,5.0598104313512,5.32582140738915,5.67148881655043,5.66197272870854
